year,actual_rainfall,normal_rainfall,rainfall_ratio,rainfall_anomaly_pct,flood_count,flood_risk_level
1983,396192.11,434686.43,0.911,-8.86,1.0,0-1 flood
1986,401283.21,434686.43,0.923,-7.68,1.0,0-1 flood
1987,405147.77,434686.43,0.932,-6.8,1.0,0-1 flood
1988,475144.41,434686.43,1.093,9.31,1.0,0-1 flood
1991,396533.71,434686.43,0.912,-8.78,0.0,0-1 flood
1993,419702.32,434686.43,0.966,-3.45,1.0,0-1 flood
1995,458878.97,434686.43,1.056,5.57,0.0,0-1 flood
1996,431901.71,434686.43,0.994,-0.64,1.0,0-1 flood
1997,346547.24,434686.43,0.797,-20.28,0.0,0-1 flood
1998,385444.85,434686.43,0.887,-11.33,1.0,0-1 flood
1999,474719.73,434686.43,1.092,9.21,1.0,0-1 flood
2000,464314.16,434686.43,1.068,6.82,1.0,0-1 flood
2001,452036.4,434686.43,1.04,3.99,4.0,2-4 floods
2002,381402.54,434686.43,0.877,-12.26,0.0,0-1 flood
2003,457366.67,434686.43,1.052,5.22,3.0,2-4 floods
2004,412098.15,434686.43,0.948,-5.2,3.0,2-4 floods
2005,420518.32,434686.43,0.967,-3.26,2.0,2-4 floods
2006,448233.78,434686.43,1.031,3.12,4.0,2-4 floods
2007,465569.91,434686.43,1.071,7.1,2.0,2-4 floods
2008,505858.44,434686.43,1.164,16.37,2.0,2-4 floods
2009,482894.96,434686.43,1.111,11.09,2.0,2-4 floods
2011,510222.84,434686.43,1.174,17.38,1.0,0-1 flood
2013,447070.3,434686.43,1.028,2.85,1.0,0-1 flood
2014,426994.06,434686.43,0.982,-1.77,1.0,0-1 flood
2015,382193.13,434686.43,0.879,-12.08,1.0,0-1 flood
2016,409984.02,434686.43,0.943,-5.68,4.0,2-4 floods
2017,503169.13,434686.43,1.158,15.75,3.0,2-4 floods
2018,450672.6,434686.43,1.037,3.68,2.0,2-4 floods
2019,376939.49,434686.43,0.867,-13.28,4.0,2-4 floods
2020,442478.92,434686.43,1.018,1.79,5.0,5+ floods
2021,470281.51,434686.43,1.082,8.19,8.0,5+ floods
2022,516870.22,434686.43,1.189,18.91,5.0,5+ floods
2023,463328.72,434686.43,1.066,6.59,4.0,2-4 floods
