DATE,City,Temperature_C,Humidity_pct,Wind_Speed_ms,Rainfall_3day,Rainfall_7day,Rainfall_14day,Rainfall_cumsum7,Month,Is_Monsoon,Flood,Flash_Flood
2010-01-14,Johor Bahru,25.66,85.29,3.09,2.8733333333333335,1.705714285714286,1.7771428571428571,11.940000000000001,1,1,0,0
2010-01-15,Johor Bahru,25.44,84.99,3.21,0.2933333333333334,1.27,1.7564285714285715,8.89,1,1,0,0
2010-01-16,Johor Bahru,25.87,83.95,2.93,0.023333333333333334,1.2314285714285715,1.729285714285714,8.620000000000001,1,1,0,0
2010-01-17,Johor Bahru,26.15,85.88,3.19,0.0,1.2314285714285715,1.5299999999999998,8.620000000000001,1,1,0,0
2010-01-18,Johor Bahru,25.65,88.9,3.28,0.5533333333333333,1.4685714285714286,1.5199999999999998,10.280000000000001,1,1,0,0
2010-01-19,Johor Bahru,25.89,84.63,1.64,4.36,1.9942857142857142,2.3114285714285714,13.959999999999999,1,1,0,0
2010-01-20,Johor Bahru,26.39,84.35,1.21,6.483333333333333,2.7885714285714287,2.5,19.52,1,1,0,0
2010-01-21,Johor Bahru,26.52,85.63,1.58,6.3,2.937142857142857,2.3214285714285716,20.56,1,1,0,0
2010-01-22,Johor Bahru,26.95,83.02,1.09,4.913333333333333,3.974285714285714,2.6221428571428573,27.82,1,1,0,0
2010-01-23,Johor Bahru,26.39,87.7,2.46,3.16,4.132857142857143,2.682142857142857,28.93,1,1,0,0
2010-01-24,Johor Bahru,26.52,85.63,2.81,2.796666666666667,4.135714285714285,2.6835714285714287,28.95,1,1,0,0
2010-01-25,Johor Bahru,26.52,85.24,2.91,0.3766666666666667,3.8985714285714286,2.6835714285714287,27.29,1,1,0,0
2010-01-26,Johor Bahru,26.43,86.72,2.64,0.09000000000000001,2.302857142857143,2.1485714285714286,16.12,1,1,0,0
2010-01-27,Johor Bahru,26.36,87.95,2.97,0.53,1.5842857142857143,2.186428571428572,11.09,1,1,0,0
2010-01-28,Johor Bahru,26.53,85.85,2.84,1.18,1.7042857142857142,2.3207142857142857,11.93,1,1,0,0
2010-01-29,Johor Bahru,26.25,87.18,3.02,1.1900000000000002,0.7071428571428572,2.3407142857142857,4.95,1,1,0,0
2010-01-30,Johor Bahru,26.73,86.05,2.55,0.7766666666666667,0.5628571428571428,2.3478571428571433,3.94,1,1,0,0
2010-01-31,Johor Bahru,26.5,85.35,2.9,0.14,0.5657142857142857,2.350714285714286,3.9600000000000004,1,1,0,0
2010-02-01,Johor Bahru,26.31,82.98,2.56,0.04666666666666667,0.5657142857142857,2.232142857142857,3.9600000000000004,2,0,0,0
2010-02-02,Johor Bahru,26.66,82.68,1.86,0.013333333333333334,0.53,1.4164285714285716,3.71,2,0,0,0
2010-02-03,Johor Bahru,26.92,84.68,2.38,0.02,0.34714285714285714,0.9657142857142856,2.43,2,0,0,0
2010-02-04,Johor Bahru,26.99,85.07,2.88,0.05333333333333334,0.08285714285714287,0.8935714285714286,0.5800000000000001,2,0,0,0
2010-02-05,Johor Bahru,27.04,84.56,2.45,0.15,0.08428571428571428,0.39571428571428574,0.59,2,0,0,0
2010-02-06,Johor Bahru,27.08,83.49,1.95,0.15666666666666668,0.08142857142857142,0.3221428571428571,0.57,2,0,0,0
2010-02-07,Johor Bahru,26.86,86.03,2.58,3.276666666666667,1.4271428571428573,0.9964285714285716,9.99,2,0,0,0
2010-02-08,Johor Bahru,26.95,85.7,2.44,3.2133333333333334,1.4414285714285715,1.0035714285714286,10.09,2,0,0,0
