Category,Storm,Flood,Drought,Mass movement (dry),Mass movement (wet),Earthquake,Epidemic,Wildfire
1983,,1,,,,,,
1986,,1,,,,,,
1987,,1,,,,,,
1988,,1,,,,,,
1991,,,,,,,1,
1993,,1,,1,,,,
1995,,,,,1,,,1
1996,1,1,,,1,,2,
1997,1,,,,,,3,1
1998,,1,1,,,,1,1
1999,,1,,,,,,
2000,1,1,,,,,2,
2001,,4,,,,,,
2002,1,,,,1,,,
2003,,3,,,,,,
2004,2,3,,,,1,,
2005,,2,,,,,,1
2006,,4,,,,,,
2007,,2,,,,,1,
2008,,2,,,,,,
2009,,2,,,,,,
2011,,1,,,1,,,
2013,,1,,,,,,
2014,,1,1,,,,,
2015,,1,,,,1,,
2016,,4,,,,,,
2017,1,3,,,,,,
2018,,2,,,,,,
2019,,4,,,,,,
2020,,5,,,,,,
2021,,8,,,,,,
2022,,5,,,1,,,
2023,,4,,,,,1,
