state_code,state_name,district_year_records,flood_records,districts,avg_annual_rainfall_mm,flood_rate_pct,longitude,latitude
101,Johor,66,23,6,2440.05,34.85,103.49417114257812,1.89004284337619
102,Kedah,55,29,5,2207.83,52.73,100.67215057740728,5.856035475096272
103,Kelantan,44,21,4,2364.3,47.73,102.06627413121666,5.192396199581006
104,Melaka,33,17,3,2391.06,51.52,102.30847203454306,2.290535190772186
105,Negeri Sembilan,22,10,2,2471.76,45.45,102.08174939187157,2.618115254456818
106,Pahang,66,45,6,2480.74,68.18,102.3197859723421,4.0742504030100495
108,Perak,66,36,6,2304.83,54.55,101.15178074947623,4.733421874419329
109,Perlis,77,46,6,2531.28,59.74,100.22751256039268,6.524752131375889
111,Terengganu,77,25,7,2813.93,32.47,102.8973027910505,4.825278494983069
112,Sabah,154,51,14,2798.21,33.12,116.97592163085938,5.278169151099865
113,Sarawak,165,44,13,3364.33,26.67,113.43147695881046,2.7525784598510614
