shapeISO,original_state_name,state,month,month_name,avg_rainfall_mm
MY-01,Johor,Johor,1,Jan,5.21
MY-01,Johor,Johor,2,Feb,4.68
MY-01,Johor,Johor,3,Mar,5.49
MY-01,Johor,Johor,4,Apr,8.02
MY-01,Johor,Johor,5,May,6.01
MY-01,Johor,Johor,6,Jun,4.82
MY-01,Johor,Johor,7,Jul,5.45
MY-01,Johor,Johor,8,Aug,7.01
MY-01,Johor,Johor,9,Sep,5.34
MY-01,Johor,Johor,10,Oct,5.79
MY-01,Johor,Johor,11,Nov,10.33
MY-01,Johor,Johor,12,Dec,9.61
MY-02,Kedah,Kedah,1,Jan,2.21
MY-02,Kedah,Kedah,2,Feb,2.25
MY-02,Kedah,Kedah,3,Mar,3.54
MY-02,Kedah,Kedah,4,Apr,7.92
MY-02,Kedah,Kedah,5,May,7.17
MY-02,Kedah,Kedah,6,Jun,5.31
MY-02,Kedah,Kedah,7,Jul,5.45
MY-02,Kedah,Kedah,8,Aug,6.97
MY-02,Kedah,Kedah,9,Sep,9.88
MY-02,Kedah,Kedah,10,Oct,11.93
MY-02,Kedah,Kedah,11,Nov,8.01
MY-02,Kedah,Kedah,12,Dec,4.34
MY-03,Kelantan,Kelantan,1,Jan,5.13
MY-03,Kelantan,Kelantan,2,Feb,2.68
MY-03,Kelantan,Kelantan,3,Mar,2.85
MY-03,Kelantan,Kelantan,4,Apr,3.54
MY-03,Kelantan,Kelantan,5,May,5.41
MY-03,Kelantan,Kelantan,6,Jun,6.1
MY-03,Kelantan,Kelantan,7,Jul,6.64
MY-03,Kelantan,Kelantan,8,Aug,7.4
MY-03,Kelantan,Kelantan,9,Sep,9.47
MY-03,Kelantan,Kelantan,10,Oct,8.84
MY-03,Kelantan,Kelantan,11,Nov,17.37
MY-03,Kelantan,Kelantan,12,Dec,17.15
MY-04,Melaka,Malacca,1,Jan,2.33
MY-04,Melaka,Malacca,2,Feb,3.65
MY-04,Melaka,Malacca,3,Mar,5.01
MY-04,Melaka,Malacca,4,Apr,7.62
MY-04,Melaka,Malacca,5,May,5.74
MY-04,Melaka,Malacca,6,Jun,4.46
MY-04,Melaka,Malacca,7,Jul,5.31
MY-04,Melaka,Malacca,8,Aug,6.9
MY-04,Melaka,Malacca,9,Sep,5.18
MY-04,Melaka,Malacca,10,Oct,5.68
MY-04,Melaka,Malacca,11,Nov,9.28
MY-04,Melaka,Malacca,12,Dec,6.56
MY-05,NSembilan,Negeri Sembilan,1,Jan,2.91
MY-05,NSembilan,Negeri Sembilan,2,Feb,3.93
MY-05,NSembilan,Negeri Sembilan,3,Mar,4.55
MY-05,NSembilan,Negeri Sembilan,4,Apr,6.39
MY-05,NSembilan,Negeri Sembilan,5,May,4.39
MY-05,NSembilan,Negeri Sembilan,6,Jun,3.81
MY-05,NSembilan,Negeri Sembilan,7,Jul,3.95
MY-05,NSembilan,Negeri Sembilan,8,Aug,5.37
MY-05,NSembilan,Negeri Sembilan,9,Sep,4.9
MY-05,NSembilan,Negeri Sembilan,10,Oct,5.79
MY-05,NSembilan,Negeri Sembilan,11,Nov,8.83
MY-05,NSembilan,Negeri Sembilan,12,Dec,7.16
MY-06,Pahang,Pahang,1,Jan,5.27
MY-06,Pahang,Pahang,2,Feb,3.71
MY-06,Pahang,Pahang,3,Mar,3.3
MY-06,Pahang,Pahang,4,Apr,5.34
MY-06,Pahang,Pahang,5,May,4.83
MY-06,Pahang,Pahang,6,Jun,4.67
MY-06,Pahang,Pahang,7,Jul,4.59
MY-06,Pahang,Pahang,8,Aug,5.79
MY-06,Pahang,Pahang,9,Sep,6.05
MY-06,Pahang,Pahang,10,Oct,7.17
MY-06,Pahang,Pahang,11,Nov,11.03
MY-06,Pahang,Pahang,12,Dec,11.82
MY-07,Penang,Penang,1,Jan,3.78
MY-07,Penang,Penang,2,Feb,3.21
MY-07,Penang,Penang,3,Mar,3.98
MY-07,Penang,Penang,4,Apr,7.58
MY-07,Penang,Penang,5,May,5.87
MY-07,Penang,Penang,6,Jun,4.39
MY-07,Penang,Penang,7,Jul,4.6
MY-07,Penang,Penang,8,Aug,5.69
MY-07,Penang,Penang,9,Sep,8.37
MY-07,Penang,Penang,10,Oct,13.43
MY-07,Penang,Penang,11,Nov,9.98
MY-07,Penang,Penang,12,Dec,5.22
MY-08,Perak,Perak,1,Jan,4.85
MY-08,Perak,Perak,2,Feb,4.22
MY-08,Perak,Perak,3,Mar,4.77
MY-08,Perak,Perak,4,Apr,8.05
MY-08,Perak,Perak,5,May,6.54
MY-08,Perak,Perak,6,Jun,5.49
MY-08,Perak,Perak,7,Jul,4.15
MY-08,Perak,Perak,8,Aug,5.97
MY-08,Perak,Perak,9,Sep,7.6
MY-08,Perak,Perak,10,Oct,9.8
MY-08,Perak,Perak,11,Nov,10.33
MY-08,Perak,Perak,12,Dec,9.79
MY-09,Perlis,Perlis,1,Jan,1.2
MY-09,Perlis,Perlis,2,Feb,1.65
MY-09,Perlis,Perlis,3,Mar,2.69
MY-09,Perlis,Perlis,4,Apr,6.37
MY-09,Perlis,Perlis,5,May,5.12
MY-09,Perlis,Perlis,6,Jun,5.6
MY-09,Perlis,Perlis,7,Jul,5.97
